Date,Cumulative Deaths
2020-08-06,406
2020-08-07,422
2020-08-08,432
2020-08-09,445
2020-08-10,455
2020-08-11,519
2020-08-12,545
2020-08-13,560
2020-08-14,578
2020-08-15,591
2020-08-16,598
2020-08-17,617
2020-08-18,637
2020-08-19,656
2020-08-20,677
2020-08-21,698
2020-08-22,712
2020-08-23,721
2020-08-24,725
2020-08-25,741
2020-08-26,754
2020-08-27,767
2020-08-28,780
2020-08-29,793
2020-08-30,802
2020-08-31,809
2020-09-01,822
2020-09-02,835
2020-09-03,851
2020-09-04,873
2020-09-05,893
2020-09-06,978
2020-09-08,979
2020-09-09,981
2020-09-10,990
2020-09-11,991
2020-09-12,992
2020-09-13,1016
2020-09-14,1016
2020-09-15,1019
2020-09-16,1022
2020-09-17,1024
2020-09-18,1025
2020-09-19,1025
2020-09-20,1061
2020-09-21,1062
2020-09-22,1068
2020-09-23,1068
2020-09-24,1073
2020-09-25,1073
2020-09-26,1074
2020-09-27,1130
2020-09-28,1130
2020-09-29,1135
2020-09-30,1136
2020-10-01,1138
2020-10-02,1138
2020-10-03,1143
2020-10-04,1167
2020-10-05,1167
2020-10-06,1168
2020-10-07,1168
2020-10-08,1171
2020-10-09,1171
2020-10-10,1174
2020-10-11,1201
2020-10-12,1201
2020-10-13,1207
2020-10-14,1207
2020-10-15,1209
2020-10-16,1211
2020-10-17,1211
2020-10-18,1228
2020-10-19,1230
2020-10-20,1230
2020-10-21,1232
2020-10-22,1232
2020-10-23,1232
2020-10-24,1232
2020-10-25,1247
2020-10-26,1247
2020-10-27,1247
2020-10-28,1250
2020-10-29,1250
2020-10-30,1251
2020-10-31,1251
2020-11-01,1260
2020-11-02,1260
2020-11-03,1260
2020-11-04,1265
2020-11-05,1268
2020-11-06,1273
2020-11-07,1273
2020-11-08,1285
2020-11-09,1285
2020-11-10,1285
2020-11-11,1285
2020-11-12,1287
2020-11-13,1293
2020-11-14,1294
2020-11-15,1301
2020-11-16,1301
2020-11-17,1304
2020-11-18,1307
2020-11-19,1309
2020-11-20,1316
2020-11-21,1318
2020-11-22,1335
2020-11-23,1335
2020-11-24,1337
2020-11-25,1343
2020-11-26,1343
2020-11-27,1343
2020-11-28,1344
2020-11-29,1357
2020-11-30,1357
2020-12-01,1362
2020-12-02,1371
2020-12-03,1372
2020-12-04,1376
2020-12-05,1377
2020-12-06,1397
2020-12-07,1397
2020-12-08,1406
2020-12-09,1406
2020-12-10,1412
2020-12-11,1418
2020-12-12,1418
2020-12-13,1429
2020-12-14,1429
2020-12-15,1435
2020-12-16,1440
2020-12-17,1440
2020-12-18,1442
2020-12-19,1442
2020-12-20,1455
2020-12-21,1460
2020-12-22,1471
2020-12-23,1479
2020-12-24,1479
2020-12-25,1479
2020-12-26,1479
2020-12-27,1510
2020-12-28,1510
2020-12-29,1521
2020-12-30,1538
2020-12-31,1538
2021-01-01,1546
2021-01-02,1546
2021-01-03,1562
2021-01-04,1569
2021-01-05,1574
2021-01-06,1578
2021-01-07,1587
2021-01-08,1592
2021-01-09,1593
2021-01-10,1648
2021-01-11,1649
2021-01-12,1660
2021-01-13,1685
2021-01-14,1704
2021-01-15,1710
2021-01-16,1716
2021-01-17,1809
2021-01-18,1812
2021-01-19,1822
2021-01-20,1840
2021-01-21,1857
2021-01-22,1874
2021-01-23,1892
2021-01-24,1967
2021-01-25,1967
2021-01-26,1998
2021-01-27,2007
2021-01-28,2027
2021-01-29,2046
2021-01-30,2060
2021-01-31,2143
2021-02-01,2152
2021-02-02,2167
2021-02-03,2181
2021-02-04,2186
2021-02-05,2197
2021-02-06,2208
2021-02-07,2361
2021-02-08,2362
2021-02-09,2362
2021-02-10,2365
2021-02-11,2387
2021-02-12,2396
2021-02-13,2397
2021-02-20,2404
2021-02-21,2492
2021-02-22,2492
2021-02-23,2501
2021-02-24,2510
2021-02-25,2514
2021-02-26,2520
2021-02-27,2520
2021-02-28,2670
2021-03-01,2670
2021-03-02,2670
2021-03-03,2676
2021-03-04,2678
2021-03-05,2681
2021-03-06,2685
2021-03-07,2847
2021-03-08,2847
2021-03-09,2853
2021-03-10,2856
2021-03-11,2861
2021-03-12,2864
2021-03-13,2868
2021-03-14,2990
2021-03-15,2990
2021-03-16,2991
2021-03-17,2995
2021-03-18,2995
2021-03-19,2996
2021-03-20,2997
2021-03-21,3071
2021-03-22,3071
2021-03-23,3073
2021-03-24,3073
2021-03-25,3076
2021-03-26,3077
2021-03-27,3077
2021-03-28,3144
2021-03-29,3144
2021-03-30,3148
2021-03-31,3150
2021-04-01,3152
2021-04-02,3152
2021-04-03,3152
2021-04-04,3152
2021-04-05,3210
2021-04-06,3212
2021-04-07,3220
2021-04-08,3222
2021-04-09,3222
2021-04-10,3222
2021-04-11,3222
2021-04-12,3280
2021-04-13,3281
2021-04-14,3287
2021-04-15,3291
2021-04-16,3293
2021-04-17,3293
2021-04-18,3293
2021-04-19,3233
2021-04-20,3324
2021-04-21,3330
2021-04-22,3330
2021-04-23,3330
2021-04-24,3330
2021-04-25,3330
2021-04-26,3350
2021-04-27,3351
2021-04-28,3354
2021-04-29,3354
2021-04-30,3354
2021-05-01,3354
2021-05-02,3354
2021-05-03,3372
2021-05-04,3373
2021-05-05,3375
2021-05-06,3379
2021-05-07,3381
2021-05-08,3391
2021-05-09,3391
2021-05-10,3400
2021-05-11,3400
2021-05-12,3404
2021-05-13,3404
2021-05-14,3404
2021-05-15,3404
2021-05-16,3404
2021-05-17,3433
2021-05-18,3433
2021-05-19,3438
2021-05-20,3439
2021-05-21,3441
2021-05-22,3441
2021-05-23,3441
2021-05-24,3454
2021-05-25,3454
2021-05-26,3454
2021-05-27,3457
2021-05-28,3459
2021-05-29,3459
2021-05-30,3459
2021-05-31,3459
2021-06-01,3482
2021-06-02,3482
2021-06-03,3486
2021-06-04,3489
2021-06-05,3489
2021-06-06,3489
2021-06-07,3489
2021-06-08,3520
2021-06-09,3520
2021-06-10,3520
2021-06-11,3521
2021-06-12,3521
2021-06-13,3521
2021-06-14,3521
2021-06-15,3533
2021-06-16,3533
2021-06-17,3538
2021-06-18,3538
2021-06-19,3538
2021-06-20,3538
2021-06-21,3539
2021-06-22,3543
2021-06-23,3547
2021-06-24,3547
2021-06-25,3548
2021-06-26,3548
2021-06-27,3548
2021-06-28,3550
2021-06-29,3559
2021-06-30,3559
2021-07-01,3561
2021-07-02,3561
2021-07-03,3561
2021-07-04,3561
2021-07-05,3561
2021-07-06,3567
2021-07-07,3571
2021-07-08,3571
2021-07-09,3572
2021-07-10,3572
2021-07-11,3572
2021-07-12,3572
2021-07-13,3578
2021-07-14,3578
2021-07-15,3578
2021-07-16,3579
2021-07-17,3579
2021-07-18,3579
2021-07-19,3579
2021-07-20,3584
2021-07-21,3586
2021-07-22,3589
2021-07-23,3589
2021-07-24,3589
2021-07-25,3589
2021-07-26,3591
2021-07-27,3601
2021-07-28,3606
2021-07-29,3610
2021-07-30,3612
2021-07-31,3612
2021-08-01,3612
2021-08-02,3613
2021-08-03,3619
2021-08-04,3620
2021-08-05,3624
2021-08-06,3625
2021-08-07,3625
2021-08-08,3625
2021-08-09,3627
2021-08-10,3643
2021-08-11,3652
2021-08-12,3658
2021-08-13,3673
2021-08-14,3673
2021-08-15,3673
2021-08-16,3679
2021-08-17,3699
2021-08-18,3703
2021-08-19,3710
2021-08-20,3731
2021-08-21,3731
2021-08-22,3731
2021-08-23,3731
2021-08-24,3772
2021-08-25,3802
2021-08-26,3817
2021-08-27,3829
2021-08-28,3829
2021-08-29,3829
2021-08-30,3840
2021-08-31,3895
2021-09-01,3913
2021-09-02,3936
2021-09-03,3941
2021-09-04,3941
2021-09-05,3941
2021-09-06,3941
2021-09-07,3994
2021-09-08,3996
2021-09-09,4017
2021-09-10,4035
2021-09-11,4035
2021-09-12,4035
2021-09-13,4035
2021-09-14,4145
2021-09-15,4149
2021-09-16,4162
2021-09-17,4171
2021-09-18,4171
2021-09-19,4171
2021-09-20,4171
2021-09-21,4282
2021-09-22,4292
2021-09-23,4314
2021-09-24,4324
2021-09-25,4324
2021-09-26,4324
2021-09-27,4325
2021-09-28,4408
2021-09-29,4408
2021-09-30,4426
2021-10-01,4434
2021-10-02,4434
2021-10-03,4434
2021-10-04,4434
2021-10-05,4541
2021-10-06,4542
2021-10-07,4559
2021-10-08,4563
2021-10-09,4563
2021-10-10,4563
2021-10-11,4564
2021-10-12,4644
2021-10-13,4649
2021-10-14,4651
2021-10-15,4654
2021-10-16,4654
2021-10-17,4654
2021-10-18,4654
2021-10-19,4735
2021-10-20,4736
2021-10-21,4737
2021-10-22,4742
2021-10-23,4742
2021-10-24,4742
2021-10-25,4743
2021-10-26,4807
2021-10-27,4811
2021-10-28,4814
2021-10-29,4825
2021-10-30,4825
2021-10-31,4825
2021-11-01,4828
2021-11-02,4876
2021-11-03,4878
2021-11-04,4883
2021-11-05,4886
2021-11-06,4886
2021-11-07,4886
2021-11-08,4888
2021-11-09,4938
2021-11-10,4941
2021-11-11,4941
2021-11-12,4944
2021-11-13,4944
2021-11-14,4944
2021-11-15,4944
2021-11-16,4945
2021-11-17,4945
2021-11-18,4945
2021-11-19,4945
2021-11-20,4945
2021-11-21,4945
2021-11-22,4946
2021-11-23,4946
2021-11-24,4948
2021-11-25,4948
2021-11-26,4948
2021-11-27,4948
2021-11-28,4948
2021-11-29,4950
2021-11-30,4950
2021-12-01,4952
2021-12-02,4952
2021-12-03,4953
2021-12-04,4953
2021-12-05,4953
2021-12-06,4953
2021-12-07,4953
2021-12-08,4957
2021-12-09,4959
2021-12-10,4959
2021-12-11,4959
2021-12-12,4959
2021-12-13,4960
2021-12-14,4962
2021-12-15,4962
2021-12-16,4962
2021-12-17,4968
2021-12-18,4968
2021-12-19,4968
2021-12-20,4970
2021-12-21,4971
2021-12-22,4971
2021-12-23,4975
2021-12-24,4975
2021-12-25,4975
2021-12-26,4975
2021-12-27,4975
2021-12-28,4975
2021-12-29,4975
2021-12-30,4975
2021-12-31,4975
2022-01-01,4975
2022-01-02,4975
2022-01-03,4977
2022-01-04,4977
2022-01-05,4984
2022-01-06,4990
2022-01-07,4991
2022-01-08,4991
2022-01-09,4991
2022-01-10,4994
2022-01-11,4994
2022-01-12,4997
2022-01-13,5006
2022-01-14,5006
2022-01-15,5006
2022-01-16,5006
2022-01-17,5006
2022-01-18,5013
2022-01-19,5018
2022-01-20,5028
2022-01-21,5044
2022-01-22,5044
2022-01-23,5044
2022-01-24,5047
2022-01-25,5062
2022-01-26,5072
2022-01-27,5079
2022-01-28,5094
2022-01-29,5094
2022-01-30,5094
2022-01-31,5096
2022-02-01,5115
2022-02-02,5130
2022-02-03,5135
2022-02-04,5135
2022-02-05,5135
2022-02-06,5135
2022-02-07,5159
2022-02-08,5165
2022-02-09,5172
2022-02-10,5178
2022-02-11,5186
2022-02-12,5186
2022-02-13,5186
2022-02-14,5196
2022-02-15,5200
2022-02-16,5206
2022-02-16,5206
2022-02-17,5216
2022-02-18,5227
2022-02-19,5227
2022-02-20,5227
2022-02-21,5231
2022-02-22,5234
2022-02-23,5239
2022-02-24,5247
2022-02-25,5252
2022-02-26,5252
2022-02-27,5252
2022-02-28,5263
2022-03-01,5268
2022-03-02,5273
2022-03-03,5276
2022-03-04,5278
2022-03-05,5278
2022-03-06,5278
2022-03-07,5283
2022-03-08,5287
2022-03-09,5287
2022-03-10,5289
2022-03-11,5295
2022-03-12,5295
2022-03-13,5295
2022-03-14,5296
2022-03-15,5298
2022-03-16,5299
2022-03-17,5303
2022-03-18,5303
2022-03-19,5303
2022-03-20,5303
2022-03-21,5304
2022-03-22,5305
2022-03-23,5306
2022-03-24,5307
2022-03-25,5308
2022-03-26,5308
2022-03-27,5308
2022-03-28,5310
2022-03-29,5311
2022-03-30,5311
2022-03-31,5311
2022-04-01,5312
2022-04-02,5312
2022-04-03,5312
2022-04-04,5313
2022-04-05,5315
2022-04-06,5315
2022-04-07,5317
2022-04-08,5317
2022-04-09,5317
2022-04-10,5317
2022-04-11,5319
2022-04-12,5319
2022-04-13,5319
2022-04-14,5319
2022-04-15,5319
2022-04-16,5319
2022-04-17,5319
2022-04-18,5319
2022-04-19,5319
2022-04-20,5319
2022-04-21,5320
2022-04-22,5320
2022-04-23,5320
2022-04-24,5320
2022-04-25,5320
2022-04-26,5320
2022-04-27,5320
2022-04-28,5320
2022-04-29,5320
2022-04-30,5320
2022-05-01,5320
2022-05-02,5320
2022-05-03,5320
2022-05-04,5320
2022-05-05,5320
2022-05-06,5320
2022-05-07,5320
2022-05-08,5320
2022-05-09,5320
2022-05-10,5320
2022-05-11,5321
2022-05-12,5322
2022-05-13,5322
